publisher_id,publisher
321,Brash Entertainment
322,Detn8
323,City Interactive
324,Backbone Entertainment
325,2D Boy
326,Number None Inc.
327,Hudson Soft
328,"Tetris Online, Inc"
329,Invisible Handlebar
330,Kalypso
331,Mousechief
332,Frontier Developments
333,Void Star Creations
334,3D Realms
335,Hothead Games
336,Joakim Sandberg
337,Two Tribes
338,iRacing.com Motorsport Simulations
339,Pam Development
340,Introversion
341,Zoo Games
342,Zoo Digital Publishing
343,Koch Media
344,S2 Games
345,Pieces Interactive
346,Activision Blizzard
347,Pinnacle
348,Gameloft
349,Big Fish Games
350,Vir2L Studios
351,High Voltage Software
352,Exkee
353,Touchstone
354,Dejobaan Games
355,Novaleaf Game Studios
356,Blitz Games Studios
357,Gamerizon
358,Psyonix
359,CrunchTime Games
360,System 3
361,Tilted Mill
362,XGenStudios
363,Nnooo
364,Rake in Grass
365,Warashi
366,Rudolf Kremers
367,EastAsiaSoft
368,"Genius Products, Inc."
369,Silverlode Interactive
370,Ghostfire Games
371,Isotx
372,Yuke's
373,Nunchuk Games
374,Navarre Corp
375,Shin'en
376,Bplus
377,Neko Entertainment
378,Abstraction Games
379,TikGames
380,From Software
381,Clear Crown Studios
382,Ultizen Games
383,JV Games Inc.
384,D2C Games
385,Mojang AB
386,Capy Games
387,Knowledge Adventure Inc.
388,Sidhe Interactive
389,Amanita Design
390,EA Mobile
391,Halfbrick Studios
392,Twisted Pixel Games
393,Zombie Cow Studios
394,Team 17
395,Ronimo Games
396,Pelfast
397,WayForward
398,Nobilis
399,Hidden Path Entertainment
400,Over the Top Games
401,Subatomic Studios
402,Cowboy Rodeo
403,Hemisphere Games
404,"Arcen Games, LLC"
405,Arc System Works
406,Zen Studios
407,Frogster Interactive
408,Tale of Tales
409,Creat Studios
410,Nimbly Games
411,Playbrains
412,Petri Purho
413,Eyebrow Interactive
414,Riot Games
415,YuPlay
416,Game Arts
417,odenis studio
418,Bohemia Interactive
419,Tripwire Interactive
420,ND Games
421,777 Studios
422,Acclaim Games
423,Deep Silver
424,Tozai Games
425,Tommo
426,Grigon Entertainment Co.
427,Broken Rules
428,Farmind Ltd
429,GamesCampus
430,BiP Media
431,Lazy 8 Studios
432,Nocturnal Entertainment
433,Futuremark Games Studio
434,Red Rocket Games
435,Yullaby
436,PlayFirst
437,Graffiti Entertainment
438,Hands-On Mobile
439,Erik Svedang
440,Storm City Games
441,Frima Studio
442,Devolver Digital
443,Virtual Toys
444,SaintXi
445,impressionware
446,Dark Energy Digital
447,Big John Games
448,Gravity Interactive
449,Anozor SARL
450,Paramount Digital Entertainment
451,Digital Chocolate
452,Noviy Disk
453,RTL
454,Semnant Studios
455,Blitz Arcade
456,Playstos Entertainment
457,DK Games
458,Performance Designed Products
459,Nemesys
460,Vogster
461,Cosmonaut Games
462,Boolat Games
463,O-Games
464,Abylight
465,Legendo Entertainment
466,Iceberg Entertainment
467,GFI
468,"Phantom EFX, Inc."
469,Studio Zan
470,Muse Games
471,Medaverse Studios
472,"Joju Games, Inc."
473,Solus Games
474,Paleo Entertainment
475,Boll AG
476,Funsta
477,Mezmer Games
478,PLAYDEAD
479,Team Meat
480,Nicalis
481,Hello Games
482,Namco Networks America
483,QCF Design
484,Carpe Fulgur
485,Terry Cavanagh
486,FuturLab
487,Noumenon Games
488,Sarbakan Inc.
489,Puppy Games
490,Richard Hofmeier
491,Doctor Entertainment
492,EA Partners
493,W!Games
494,Uglysoft
495,Motion Twin
496,Firemint Pty Ltd
497,Cave
498,QubicGames
499,Beatnik Games
500,EnjoyUp Games
501,Binary Takeover
502,Press Play
503,Cockroach Inc.
504,"Big Sandwich Games, Inc."
505,Chillingo Ltd
506,Cadenza
507,Sabarasa Entertainment
508,Craneballs Studios
509,Hydravision
510,Tantalus
511,Ludosity Interactive
512,The Game Atelier
513,Tons of Bits
514,Mediatonic
515,DTP Entertainment
516,Laughing Jackal
517,Deep Fried Entertainment
518,P2 Games
519,Brendon Chung
520,TimeGate Studios
521,Brawsome
522,Image & Form
523,The Games Company
524,Tag Games
525,Hi-Rez Studios
526,Triangle Studios
527,StarWraith
528,Cateia Games
529,Eiconic Games
530,Oddworld Inhabitants
531,Cosmigo
532,Enjoy Gaming
533,"EXTEND Interactive, LLC."
534,Russobit-M
535,Galcon
536,Sanuk Games
537,Black Bean Games
538,Gamelion Studios
539,Strawdog Studios
540,"Alawar Entertainment, Inc"
541,G5 Entertainment
542,G5 Software
543,Longbow Digital Arts
544,Akaoni Studio
545,Bongfish
546,Onteca
547,Gaijin Games
548,Slick Entertainment
549,Enteractive Distribution Co.
550,Virtual Playground
551,Xform
552,Stickmen Studios
553,Icon Games
554,bitComposer Games
555,dtp Young Entertainment AG
556,Playtainment
557,Avanquest Software
558,Koei Tecmo Games
559,Gaijin Entertainment
560,Beatshapers
561,SunSoft
562,Mastertronic
563,The Bearded Ladies Consulting
564,GlobZ
565,"Pipeworks Software, Inc."
566,Lexis Numerique
567,Zallag
568,Petroglyph
569,Saturnine Games
570,Nabi Studios
571,Gamebridge
572,Lapland Studio
573,"Vogster Entertainment, LLC"
574,The Code Monkeys
575,Virtual Air Guitar Company
576,DreamBox Games
577,Beyond The Pillars
578,Little Green Men
579,Sega Europe
580,BITBOX S.L.
581,TGC
582,Sonic Boom
583,Big Blue Bubble Inc.
584,Muzzy Lane Software
585,Parallax Software
586,Seven45 Studios
587,WHA Entertainment
588,Nordcurrent
589,Microforum
590,Coresoft Inc.
591,The Fighter Collection
592,Zachtronics Industries
593,2x2 Games
594,Edmund McMillen
595,"Frozenbyte, Inc."
596,Trion Worlds
597,Robot Entertainment
598,Flat Black Films
599,Re-Logic
600,Giant Army
601,RedLynx
602,Uber Entertainment
603,Squid In A Box
604,Freebird Games
605,Copenhagen Game Collective
606,Transhuman Design
607,Recoil Games
608,Tribute Games
609,"Final Form Games, LLC"
610,Trendy Entertainment
611,Manic Game Studios
612,Dakko Dakko
613,11 bit studios
614,Slitherine
615,Alientrap
616,Enigma Software Productions
617,Gaslamp Games
618,Perfect World Entertainment
619,Zeboyd Games
620,Zoe Mode
621,Rising Star Games
622,Digital Reality
623,Goldhawk Interactive
624,Fatshark AB
625,Fuelcell Games
626,DrinkBox Studios
627,Cohort Studios
628,Open Emotion Studios
629,Spiderweb Software
630,Secret Base
631,Blendo Games
632,Uncanny
633,Egosoft
634,MinMax Games Ltd.
635,Tindalos Interactive
636,Kiloo
637,UTV Ignition Games
638,Ratloop Asia Pte Ltd
639,Bit Barons
640,Beamdog
641,Omni Systems
642,Certain Affinity
643,Murudai
644,Swing Swing Submarine
645,Room 4 Games Limited
646,RaceRoom Entertainment AG
647,Walk Thru Walls Studios
648,Santa Ragione
649,Coffee Stain Studios
650,Smestorp Limited
651,gamigo
652,Red Wagon Games
653,Iridium Studios
654,Red Redemption
655,Screenlife Games
656,Blitz 1UP
657,Infinite Dreams Inc.
658,"Seed Studios, Lda"
659,Toxic Games
660,State of Play Games
661,Gala Networks
662,Mystic Box
663,PAN Vision AB
664,franfistro
665,"Unigine Corp, Russia"
666,WXP
667,RailSimulator.com
668,Doublesix
669,G.Rev
670,Grip Games
671,Curve Studios
672,Cold Beam Games
673,Candygun Games
674,Colibri Games
675,Targem Games
676,Atomic Games
677,FDG Entertainment
678,Streum On Studio
679,White Rabbit Interactive
680,Zoo Entertainment
681,Just A Game
682,Frozen Codebase
683,Games Distillery
684,Spike Games
685,Takara Tomy
686,GamersFirst
687,RTL Interactive LLC
688,Fishing Cactus
689,Creative Artel
690,Mindscape Inc.
691,MonkeyPaw Games
692,tiny Build GAMES
693,Yoostar Entertainment Group
694,Hazardous Software
695,800 North and Digital Ranch
696,Bigben Interactive
697,Nicolas Intoxicate
698,Dead Mage Studio
699,Tecmo Koei America Corp.
700,Maximum Family Games
701,BlueGiant Interactive
702,Comedy Central Games
703,DNS Development
704,Zordix
705,THQ Nordic
706,Intense
707,Nordic Games Publishing
708,Anima Game Studio
709,AGO Games
710,Polytron Corp.
711,Collecting Smiles
712,Runic Games
713,Black Mesa Modification Team
714,Subset Games
715,Johamm Tael & Mihkel Tael
716,Remedy Entertainment
717,Superbrothers
718,Wild Shadow Studios
719,Farsight Studios
720,Autumn Games
721,Almost Human
722,superflat games
723,Pentavision Entertainment
724,Harvester Games
725,indiePub
726,Eden Industries
727,Q-Games
728,VAP Games
729,Renegade Kid
730,"Asterizm Co., Ltd"
731,Unknown Worlds Entertainment
732,Ankama
733,Hitbox
734,Ripstone
735,Retro Affect
736,Vblank Entertainment Inc.
737,Tiger Style
738,Tomorrow Corporation
739,Torn Banner Studios
740,Genius Sonority Inc.
741,Harmonix Music Systems
742,Daedalic Entertainment
743,Modulaatio Games
744,24 Carat Games
745,Black Forest Games
746,Mike Bithell
747,Amplitude Studios
748,En Masse Entertainment
749,GungHo
750,IonFX
751,STUDIO EVIL
752,Perrin
753,Level 5
754,Sos
755,The Chinese Room
756,Black Pants
757,Playism
758,Empty Clip Studios
759,FireFly Studios
760,Northway Games
761,Teotl Studios
762,Shanblue Interactive
763,Three Sprockets
764,Spooky Squid Games
765,LudoCraft Ltd.
766,Frogwares
767,Instant Kingdom
768,Adhesive Games
769,Different Tuna
770,SkyGoblin
771,Phoenix Online Studios
772,Stygian Software
773,Lace Mamba Global
774,Minority
775,Smudged Cat Games
776,Tecmo Koei Games
777,Endgame Studios
778,Cipher Prime Studios
779,Giant Media Group
780,Might and Delight
781,Reptile
782,Benjamin Rivers
783,Grab Games
784,Okugi Studio
785,MIST[PSI]PRESS
786,Flying Turtle Software
787,Hanako Games
788,Reverb
789,Final Boss Entertainment
790,AwesomeGamesStudio
791,Punch Puppy Productions
792,Rebellion
793,Dark Vale Games
794,7sixty
795,Misfits Attic
796,Lesta Studio
797,AwesomeBlade
798,Cardboard Box Entertainment
799,Teyon
800,EXOR Studios
801,Aduge Studio
802,RebelPlay
803,Digital Tribe
804,Milkstone Studios
805,Christine Love
806,RichMakeGame
807,Milestone S.r.l
808,Crocodile Entertainment
809,Engient
810,SuperVillain Studios
811,Engine Software
812,Gamepires
813,"Seamless Entertainment, Inc."
814,1C-Softclub
815,Iceberg Interactive
816,Camel 101
817,Other Ocean Interactive
818,Keen Software House Ltd
819,Maximum Games
820,"Gelid Games, Inc."
821,Jagex Games Studio
822,GMG Play
823,345 Games
824,Playerthree
825,Data Realms
826,CIRCLE Entertainment
827,Emobi Games
828,Red Hare Studios
829,Funbox Media
830,BBC Worldwide
831,Spiral Game Studios
832,Version2Games Limited
833,E-One Studio
834,Brain Candy
835,Gamers Digital
836,Arktos Entertainment
837,Trapdoor
838,Mossmouth
839,Galactic Cafe
840,Facepalm Games
841,The Fullbright Company
842,Grinding Gear Games
843,NeocoreGames
844,Cellar Door Games
845,3909
846,Double Eleven
847,Tom Francis
848,Blue Manchu
849,Droqen
850,Pocketwatch Games
851,Endless Fluff
852,Marvelous AQL
853,Cardboard Computer
854,Alliance Digital Media
855,Alan Hazelden & Harry Lee
856,Fallen Tree Games
857,Demruth
858,Horberg Productions
859,Cherry Pop Games
860,Right Square Bracket Left Square Bracket Games
861,Red Barrels
862,Double Fine Productions
863,Twisted Tree
864,Jeppe Carlsen
865,SCS Software
866,Adult Swim
867,Artifice Studio
868,Atomicom
869,Flippfly
870,Maxistentialism
871,Sparpweed
872,Logic Artists
873,i-illusions
874,DETUNE
875,Rain Games
876,Pixel Toys
877,Minor Key Games
878,GAIJINWORKS
879,ScrewAttack LLC
880,Will O'Neill
881,Chucklefish
882,Midnight City
883,Replay Games
884,Larian Studios Games
885,Harebrained Schemes LLC
886,Abbey Games
887,Webfarbror
888,Triple-B-Titles
889,Analgesic Productions
890,KnapNok Games
891,Ludochip
892,BEAUTIFUN GAMES SL
893,Snail Games
894,New World Interactive
895,SeeThrough Studios
896,The Quantum Astrophysicists Guild
897,Snowbird Game Studios
898,Ultra Runaway Games
899,Exato Game Studios
900,Jupiter Corporation
901,SpikySnail Games Studio
902,SFB Games
903,Team2Bit
904,Iron Galaxy Studios
905,Edge of Reality
906,Cyanide
907,MileStone Inc.
908,Puny Human Games
909,5pb
910,Frictional Games
911,BetaDwarf
912,Crackshell
913,10tons Ltd
914,Turtle Sandbox LLC
915,Spicysoft Corp.
916,Bossa Studios
917,Geeta Games
918,Tate Multimedia
919,KING Art
920,Revolution Software
921,Kerberos Productions
922,Mass Creation
923,Excalibur Publishing Limited
924,Vivid Games
925,Phobic Studios
926,Digital Extremes
927,Super Icon Ltd
928,ORiGO GAMES
929,Greenheart Games
930,Infinite Game Publishing
931,3 Sprockets
932,Nyu Media
933,Apogee Games
934,Ivent Games
935,Xpec
936,EightyEight Games LTD
937,Versus Evil
938,Born Ready Games
939,Orthogonal Games
940,damiansommer
941,Blue Isle Studios
942,Nival Interactive
943,Awesome Games Studio
944,Plug In Digital
945,PD Design Studio Pte Ltd
946,FX Interactive
947,Eutechnyx
948,The Muteki Corporation
949,Edit Mode
950,Spearhead Games
951,Crytek
952,Keen Games
953,Monochrome Games
954,Robot Loves Kitty
955,Behold Studios
956,Big Ben Interactive
957,Blackpowder Games
958,G-STYLE
959,Nemoria Entertainment
960,Niffler Ltd
961,Space Bullet Dynamics Corporation
962,Forever Entertainment S.A.
963,Shiro Games
964,"International Games System Co., Ltd."
965,Ynnis Interactive
966,CCP
967,Phoenix Online Publishing
968,Giants Software
969,Wales Interactive Ltd.
970,Zombie Studios
971,Full Control ApS
972,Gazillion
973,Bloober Team
974,Flying Carpets
975,Demon Wagon Studios
976,Ackkstudios
977,Ice-Pick Lodge
978,SumomGames
979,Allgraf
980,Moving Player
981,XYLA Entertainment
982,Spicy Horse
983,Geniaware
984,CI Games
985,I-FRIQIYA
986,Nomad Games
987,Bit Composer
988,Nocturnal Works
989,CoderChild
990,Brain Slap Studio
991,OGPlanet
992,Immanitas Entertainment GmbH
993,Ghostlight
994,Wired Productions
995,ThreeGates
996,Anuman Interactive
997,iFun4all
998,Dreamatrix
999,XeniosVision
1000,The Role Playing Company
1001,Cyberfront Korea Corp
1002,baKno Games
1003,Semaphore
1004,Yacht Club Games
1005,Jast
1006,Simogo
1007,Matt Makes Games Inc.
1008,Active Gaming Media Inc.
1009,Degica
1010,Kunos Simulazioni
1011,Metalhead Software
1012,Sierra Games
1013,Treasure
1014,Game-Labs
1015,Supergiant Games
1016,GalaxyTrail
1017,KillHouse Games
1018,Curve Digital
1019,Die Gute Fabrik
1020,Studio Pixel
1021,White Paper Games
1022,The Astronauts
1023,Triumph Studios
1024,Mojo Bones
1025,Messhof
1026,Failbetter Games
1027,Capybara Games
1028,Paradox Development Studio
1029,Pasta Games
1030,Humble Hearts
1031,roll7
1032,Housemarque
1033,Dingaling
1034,TOO DX
1035,Extend Interactive
1036,Scott Cawthon
1037,Dinosaur Polo Club
1038,Inti Creates
1039,Blue Bottle Games
1040,Goodbye Galaxy Games
1041,grapefrukt games
1042,Tikipod Limited
1043,Crazy Viking Studios
1044,MagicalTimeBean
1045,Over The Moon
1046,Terrible Posture Games
1047,PhobosLab
1048,Infinite State Games
1049,Rocket Bear Games
1050,Carlos Coronado
1051,Cypronia
1052,Just Add Water
1053,Phosfiend Systems
1054,Screen 7
1055,No Goblin
1056,Reverb Triple XP
1057,Spry Fox
1058,Avidly Wild Games
1059,Mobot Studios LLC
1060,BlitWorks
1061,Investigate North Aps
1062,Infinite Monkeys
1063,The Digital Lounge
1064,E-Line Media
1065,MixedBag Srl
1066,Ragequit Corporation
1067,Shining Rock Software
1068,Big Ant Studios
1069,Gone North Games
1070,Fireproof Games
1071,Digerati Distribution
1072,Watermelon
1073,Red Thread Games
1074,Fuzzy Wuzzy Games
1075,Whole Hog Games
1076,Crunching Koalas
1077,The Game Bakers
1078,Slitherine Software
1079,Unity Games
1080,Surprise Attack
1081,Numantian Games
1082,DoubleBear Productions
1083,Kasedo Games
1084,KISS Ltd.
1085,HB Studios Multimedia
1086,Glitchy Pixel
1087,Nyamyam
1088,Tasty Poison Games
1089,Interbellum Team
1090,Wild Factor
1091,Idea Factory
1092,"Young Horses, Inc"
1093,Xaviant Games
1094,Digital Dreams
1095,Flat Earth Games
1096,Infinitap Games
1097,Collavier
1098,CD Projekt Red Studio
1099,Mages.
1100,Gambitious
1101,Oovee Game Studios
1102,Jesse Makkonen
1103,Krillbite Studio
1104,LOOT Entertainment
1105,Interdimensional Games Inc
1106,Zaxis Games
1107,Osprey Publishing
1108,Limasse Five
1109,Merge Games
1110,Little Orbit
1111,Tom Create
1112,Digital Confectioners
1113,Flying Wild Hog
1114,FlukeDude
1115,Switchblade Monkeys
1116,Ice Water Games
1117,Night Light Interactive
1118,osao games
1119,astragon
1120,Big Robot Ltd
1121,Naiad Entertainment
1122,Deirdra Kiai
1123,Ludeme Games
1124,Henchmen Studio
1125,Dreadlocks Ltd
1126,PostMod Softworks
1127,Jason Oda
1128,Watermelon Development
1129,Happion Laboratories
1130,Cliffhanger Productions
1131,NG:DEV.TEAM
1132,Ayyo Games
1133,tinyBuild
1134,PlayWay
1135,SomaSim
1136,Red 5 Studios
1137,Minicore Studios LLC
1138,Corecell Technology
1139,Night Node
1140,Dykast Lubomir
1141,Lupus Studios Limited
1142,Jason Rohrer
1143,UIG Entertainment
1144,Wobbly Tooth Ltd
1145,Finish Line Games
1146,Brightside Games
1147,Sarepta studio
1148,Nether Productions
1149,Bedtime Digital Games
1150,Dahku Creations
1151,Eclipse Games
1152,Fair Play Labs
1153,Chainsawesome Games
1154,Nowhere Studios
1155,Digital Happiness
1156,Fourlights
1157,RCMADIAX
1158,Forge Reply
1159,Seaven Studio
1160,Snowed In Studios
1161,Dolores Entertainment SL
1162,Wastelands Interactive
1163,Escape Hatch Entertainment
1164,Team Ninja
1165,Saibot Studios
1166,The Farm 51
1167,Moonshark
1168,4PM GAME
1169,Creability
1170,Ubiquitous Entertainment Inc.
1171,4 Corner Games
1172,The Game Room
1173,Moonbite Games
1174,Epiphany Games
1175,Hoplite Research
1176,TreeFall Studios
1177,tobyfox
1178,Vlambeer
1179,SQUADTeam
1180,Brace Yourself Games
1181,Sam Barlow
1182,Gearbox Software
1183,Snapshot Games Inc.
1184,amulware
1185,Origin
1186,inkle
1187,Tom Happ
1188,Bulbware
1189,Sekai Project
1190,PlayStation Mobile Inc.
1191,"Jackbox Games, Inc."
1192,13AM Games
1193,Asteroid Base
1194,Metanet Software Inc.
1195,FiolaSoft Studio
1196,17-Bit
1197,Disparity Games
1198,Choice Provisions
1199,Iron Tower Studio
1200,MidBoss
1201,Kenny Sun
1202,JoyMasher
1203,Defiant Development
1204,Ndemic Creations
1205,Frogmind
1206,Questionary
1207,THE BROTHERHOOD
1208,Thunder Lotus Games
1209,Mode 7 Games
1210,Witch Beam
1211,TicToc Games
1212,Breakfall
1213,Untame
1214,Daybreak Games
1215,Gato Salvaje Studio
1216,Monogon Games
1217,BioWare
1218,PixelNAUTS
1219,Grey Box
1220,Sketchy Logic
1221,Upfall Studios
1222,Rogue Rocket Games
1223,Duckbridge
1224,TreeFortress Games
1225,Davey Wreden
1226,Black Shell Games
1227,Red Phantom Games
1228,PlayEveryWare Games
1229,OrangePixel
1230,Agatsuma Entertainment
1231,ColePowered Games
1232,League of Geeks
1233,"Double Damage Games, Inc."
1234,5 Lives Studios
1235,Cross-Product
1236,kunabi brother GmbH
1237,Ivy Games LLC
1238,Haemimont Games
1239,Bulkypix
1240,Whalenought Studios LLC
1241,Pinkapp Games
1242,Thomas van den Berg
1243,Crazy Monkey Studios
1244,Zoink!
1245,Juicy Beast Studio
1246,Cornfox & Bros.
1247,RageSquid
1248,Rodeo Games
1249,Channel 4
1250,Studio Paint
1251,Ironward
1252,Big Pixel Studios
1253,Relevo
1254,VooFoo Studios
1255,"Nyu Media, Ltd."
1256,Retroid Interactive
1257,MuHa Games
1258,A Crowd of Monsters
1259,Evan Todd
1260,Joindots
1261,Tilting Point
1262,Baggy Cat Ltd
1263,Indietopia Games
1264,Mobile & Game Studio
1265,Hammerfall Publishing
1266,OhNoo
1267,Lucky Pause
1268,EightyEight Games
1269,Owlchemy Labs
1270,Mana Games
1271,Steel Crate Games
1272,Aterdux Entertainment
1273,Star Maid Games
1274,Unfinished Pixel
1275,2tainment
1276,Graviteam (R)
1277,Moon Spider Studio
1278,klutzGames
1279,Madruga Works
1280,IN|FRAMEZ TECHNOLOGY CORP.
1281,Killmonday Games HB
1282,M2H
1283,Roope Tamminen
1284,New Blood Interactive
1285,Rock Pocket Games
1286,Deco Digital
1287,Delirium Studios
1288,Sileni Studios
1289,Daylight Studios
1290,"Jundroo, LLC"
1291,KBros Entertainment
1292,Devespresso Games
1293,Yukitama
1294,Honeyslug Ltd
1295,Dissident Logic
1296,Fruitbat Factory
1297,Headup Games
1298,Serenity Forge
1299,TURBOGUN
1300,Oldblood
1301,Funktronic Labs
1302,ONE MORE LEVEL
1303,Toasty Games
1304,SoftPlanet
1305,Shark Punch
1306,Office Create
1307,ZackBellGames
1308,Neptune Interactive Inc.
1309,Grendel Games
1310,Night Dive Studios
1311,Skyshine Games
1312,Cowardly Creations
1313,Springloaded
1314,Threaks
1315,LEAP Game Studios
1316,Kingdom Games
1317,Nine Tales Digital
1318,HandMade Game
1319,Rival Games Ltd
1320,Glass Bottom Games
1321,OlderBytes
1322,Coco Cucumber
1323,Prologue Games
1324,Funselektor Labs Inc.
1325,Flying Cafe for Semianimals
1326,Green Hill
1327,Vector Unit
1328,Finji
1329,Hangonit
1330,Team ERROR
1331,Triskell Interactive
1332,Insomniac Games
1333,Madskull Creations
