developer_id,developer
654,Dimps Corporation
655,Crave
656,Cave Barn
657,Prokion
658,City Interactive
659,Strangelite
660,Zuxxez
661,Nixxes Software
662,Killer Game
663,Inevitable Entertainment
664,Big Sky Software
665,Reakktor Media
666,Galilea Multimedia
667,Starbreeze
668,Zoom
669,Wanadoo
670,Dragonstone
671,SCi
672,Third Wire
673,Seta Corporation
674,Desert Productions
675,Boston Animation
676,EKO Software
677,Wide Games
678,SCE Studio Cambridge
679,Indi
680,Metro Graphics
681,Sting
682,Innonics
683,Radon Labs
684,Magenta Software
685,DreamCatcher Interactive
686,Tantalus
687,ImaginEngine
688,"Dragonstone, Dragonstone Software"
689,Similis
690,"Zuxxez, In Images"
691,Papaya Studios
692,ProSim
693,Frogwares
694,Terratools
695,Razorworks Studios
696,"Atari, Infogrames"
697,Small Rockets
698,CodeFire
699,Stealth Studios
700,I-Imagine
701,Imagineer
702,BumbleBeast
703,Pixelogic
704,Trecision
705,Creations
706,Bit Town
707,Hokus Pokus
708,Slitherine
709,Sand Grain Studios
710,Creative Edge Software
711,Doki Denki
712,WXP
713,Enterbrain
714,"Atomic Planet Entertainment, Blitz Games"
715,4D Rulers
716,Kamehan Studios
717,Stalker Entertainment
718,"Monte Cristo Multimedia, Monte Cristo"
719,Pronto Games
720,Farsight Technologies
721,Pivotal Games
722,Infinite Machine
723,iRock Interactive
724,Check Six Games
725,Human Soft
726,Bits Studios
727,Piranha Games
728,Gilligames
729,Evolution Games
730,Tiertex Design Studios
731,Cinemaware
732,Art
733,Webfoot Technologies
734,SIMS
735,Pocket Studios
736,Taniko
737,Santa Cruz Games
738,Animedia
739,Activision Value
740,Metropolis Software
741,Screaming Games
742,Den-Yu-Sha
743,Equinoxe
744,Boom
745,VU Games
746,Worldwide MicroTronics
747,Fishtank Interactive
748,Hyperspace Cowgirls
749,Super Empire
750,7FX
751,Groove Alliance
752,Panther Software
753,Red Lemon Studios
754,Saturn+
755,Destination Software
756,GolemLabs
757,Toka
758,Freedom Games
759,The Code Monkeys
760,Supersonic Software
761,Yoyo Entertainment
762,Ikarion
763,Ronin Entertainment
764,Hoplite Research
765,FUN Labs
766,Media Vision
767,Prolific
768,Data Design Interactive
769,Clover Studio
770,Infinity Ward
771,Alphadream Corporation
772,Splash Damage
773,Big Huge Games
774,Pam Development
775,Beenox
776,Square Enix
777,EA Black Box
778,Nayantara Studios
779,Her Interactive
780,Nippon Ichi Software
781,EA Pacific
782,Nerve Software
783,"Climax Group, Climax Studios"
784,Hypnos Entertainment
785,Monolith Soft
786,Swingin' Ape
787,Game Freak
788,"Infinite Dreams, Paragon 5"
789,Next Level Games
790,Jupiter Corporation
791,Sick Puppies
792,"SCEE, Zoe Mode"
793,Marvelous
794,Fluent
795,Cosmigo
796,Netherock Ltd.
797,Solecismic Software
798,Cranky Pants Games
799,eGenesis
800,Aspyr
801,Three Rings
802,NEC Interchannel
803,Toys for Bob
804,Magic Pockets
805,Wargaming.net
806,Tesseraction Games
807,Pocketeers
808,CyberConnect2
809,Illwinter Design Group
810,Backbone Emeryville
811,S2 Games
812,Wolfpack Studios
813,Million
814,Pterodon
815,Pendulo Studios
816,Sunflowers Interactive
817,Ubisoft Paris
818,Beep Industries
819,Rockstar Vienna
820,Infinite Interactive
821,Acclaim Studios Manchester
822,TKO Software
823,Team Soho
824,Brownie Brown
825,Pax Softonica
826,Shift
827,Artifact Entertainment
828,SNK Playmore
829,Hip Games
830,Idol FX
831,Selective Intuition
832,Raylight Studios
833,Naps Team
834,Frame Studios Interactive
835,CCP
836,"Acclaim, Acclaim Studios Manchester"
837,SunSoft
838,XXV Productions
839,"10tons Entertainment, 10tons"
840,Just Add Monsters
841,Frontier Developments
842,Micro Cabin
843,Poponchi
844,Blade Interactive
845,Creat Studios
846,Irem
847,JV Games Inc.
848,Oceanus Communications
849,Pyramid
850,Micro Application
851,Cavia Inc.
852,Studio Gigante
853,Quicksilver Software
854,Victory Simulations
855,Canopy Games
856,Realtime Associates
857,Saber Interactive
858,Babylon Software
859,Asylum Entertainment
860,Anino Entertainment
861,Digitalo Studios
862,Elixir Studios
863,B-Alive
864,GenePool
865,Rapid Eye Entertainment
866,Multimedia Intelligence Transfer
867,Nex Entertainment
868,Detalion
869,369 Interactive
870,Diversions Entertainment
871,HB Studios Multimedia
872,Eighting
873,Next Entertainment
874,Future Games
875,Knut Mueller
876,Soft Enterprises
877,"Valuewave Co.,Ltd."
878,Handheld Games
879,Silverback Entertainment
880,InterActive Vision Games
881,Plastic Reality
882,Livesay Technologies
883,Sixteen Tons Entertainment
884,Avaria
885,Davilex
886,Freeform Interactive LLC
887,Pixel Multimedia
888,Anima Interactive
889,Rebelmind
890,WildTangent
891,Mist Land
892,Philoslabs
893,Mistic Software
894,Pacific Century Cyber Works
895,MadCat Interactive Software
896,Xpec
897,Mayhem Studios
898,M4 Limited
899,"Revistonic, Revistronic"
900,Made by Kiddies
901,258 Productions AB
902,Sensory Sweep
903,Termite Games
904,TDK Mediactive
905,3 Romans
906,Gameness Art Software
907,Neko Entertainment
908,Anivision
909,Jarhead Games
910,Stellar Stone
911,Sports Interactive
912,Crytek
913,Shockwave Productions
914,Obsidian Entertainment
915,"Paragon Studios, Cryptic Studios"
916,Big Blue Box
917,Nautilus
918,People Can Fly
919,Career Soft
920,ChessBase
921,Chronic Logic
922,Respondesign
923,Kheops Studio
924,Mix Max
925,Sumo Digital
926,Noise Factory
927,The Behemoth
928,Inferno Games
929,Best Way
930,Koios Works
931,Suzak
932,K-D Lab
933,Awesome Developments
934,LSP
935,Spark Unlimited
936,InXile Entertainment
937,Adam Ryland
938,Tilted Mill
939,Lexis Numerique
940,Backbone Entertainment
941,EA Phenomic
942,Unimatrix Productions
943,Grasshopper Manufacture
944,Nadeo
945,Genius Sonority Inc.
946,La Plata
947,Nicely Crafted
948,Mercury Steam
949,Hudson Soft
950,Destroyer Studios
951,Black Ship Games
952,Slitherine Software
953,Guerrilla
954,Farsight Studios
955,Yager
956,Silver Wish Games
957,Black Hole Games
958,Venom Games
959,Confounding Factor
960,Banpresto
961,Paon Corporation
962,Interplay
963,Coresoft
964,Noise Inc.
965,Turtle Rock Studios
966,Nevrax
967,Amaze Entertainment
968,Silvio & Gey Savarese
969,Streko-Graphics Inc.
970,MediaMobsters
971,"Namco, Nintendo Software Technology"
972,Fuse Games Limited
973,Razorback Developments
974,Delphieye
975,Guild Software
976,Zombie
977,Access Games
978,GameHouse
979,Gameloft
980,Etranges Libellules
981,Earthlight Productions
982,Rotobee
983,Artech Studios
984,Ubisoft Shanghai/Paris
985,Tom Create
986,Playmore
987,Lesta Studio
988,Primal Software
989,G5 Software
990,Apex Designs
991,10tacle Studios
992,"Atlantis Interactive Entertainment	, Atlantis Interactive Entertainment"
993,Lab Rats Games
994,Legend Studios
995,"Paradox Interactive, Paradox Development Studio"
996,One Man Band
997,Kamui
998,Brat Designs
999,Khaeon
1000,Kuma Reality Games
1001,Black Element
1002,Brainbox Games
1003,Kritzelkratz
1004,"Burut Software, Burut Creative Team"
1005,Skyworks Technologies
1006,Gusto Games
1007,Top Heavy Studios
1008,"Argonaut Games, EA Games"
1009,Artex Software
1010,Tactical Development
1011,Wings Simulations
1012,Mad Catz
1013,Magnum Games
1014,Fizz Factor
1015,Starsphere Interactive
1016,Razbor Studios
1017,"Eurocom Entertainment Software, Eurocom"
1018,Full Fat
1019,Blue Tongue
1020,Genuine Games
1021,Radius9
1022,Extreme FX
1023,Stormcloud Creations
1024,Hexagon Entertainment
1025,"Digital Leisure Inc., Digital Leisure"
1026,"Speedco Shooting Sports, Inc."
1027,Lead Pursuit
1028,ArenaNet
1029,Q Entertainment
1030,Double Fine Productions
1031,Rockstar Leeds
1032,SimBin
1033,Quantic Dream
1034,2K Sports
1035,"Orbital Media, Inc."
1036,Paragon Studios
1037,Eugen Systems
1038,"Dimps Corporation, Sonic Team"
1039,Microsoft Game Studios Japan
1040,ITL
1041,Disney Interactive Studios
1042,Team Fusion
1043,EA Montreal
1044,Carbonated Games
1045,EA DICE
1046,Midway Studios - Los Angeles
1047,Codo Games
1048,Masque Publishing
1049,PomPom Games
1050,Headfirst Productions
1051,Mithis/HD Interactive
1052,Oberon Media
1053,Black Sea Studios
1054,NinjaBee
1055,"id Software, Nerve Software"
1056,IR Gurus Interactive Ltd.
1057,IR Gurus
1058,"Neversoft Entertainment, Beenox"
1059,Magicpot
1060,Matrix Games
1061,Wideload Games Inc.
1062,Dan Verssen Games
1063,Happy Happening
1064,Empire Oxford
1065,Awesome Studios
1066,High Moon Studios
1067,Pinegrow
1068,"Buddiez, Inc."
1069,Third Wave Games
1070,"Red Storm Entertainment, Ubisoft Montreal"
1071,Game Republic
1072,SystemSoft
1073,"Rockstar San Diego, Rockstar Leeds"
1074,Gust
1075,Andamiro U.S.A. Corp.
1076,Swordfish Studios
1077,Mitchell
1078,SCEA Sports Studio
1079,Falcom
1080,Deadline Games
1081,Roxor Games
1082,Ankama Games
1083,Neon Studios
1084,3D People
1085,BrezzaSoft
1086,Tiny Hero Game Studios
1087,Cing
1088,Sidhe Interactive
1089,House of Tales
1090,GlyphX Games
1091,BattleGoat Studios
1092,Culture Brain
1093,"Pandemic Studios, Savage Entertainment"
1094,Ganbarion
1095,Mark Healey
1096,Runtime
1097,Cyanide
1098,PopCap
1099,Destineer
1100,Western Civilization Software
1101,BottleRocket Entertainment
1102,Microvision
1103,Telltale Games
1104,Juice Games
1105,AWE Games
1106,Steedie
1107,Tantatus
1108,Ethereal Darkness Interactive
1109,G-Artists
1110,Hydravision
1111,SoftMax
1112,"SCEA, SIMS"
1113,PixelStorm
1114,Bullets
1115,Silver Creek Entertainment
1116,Mindware Studios
1117,Asobo Studio
1118,"SCEA, Think and Feel"
1119,Cornelsen Software
1120,MileStone Inc.
1121,Positech Games
1122,"Koei, Omega Force"
1123,"Big Blue Bubble Inc., Breakthrough New Media"
1124,Backbone Vancouver
1125,Tiwak
1126,Deep Shadows
1127,THQ Australia
1128,Phoenix Games Studio
1129,OnNet
1130,"Game Arts, Japan Art Media (JAM)"
1131,ITE Media
1132,"Amaze Entertainment, Griptonite Games"
1133,InterServ International
1134,Spruegames
1135,"EA Tiburon, n-Space"
1136,"EA Canada, Nihilistic"
1137,Black Hammer Game
1138,"Vision Videogames, LLC"
1139,Mirage Interactive
1140,BattleBorne
1141,Kylotonn
1142,Goshow
1143,Walkon Games
1144,"Nival Interactive, Novik & Co"
1145,Impulse Games
1146,Blue 52
1147,Master Creating
1148,"Youxiland, Gamasoft"
1149,Marvelous Entertainment
1150,4J Studios
1151,Buena Vista Interactive
1152,The Game Creators
1153,Tranji
1154,Gravity-I
1155,Bec
1156,CiRCLE
1157,"Blitz Games, Human Soft"
1158,Direct Action Games
1159,Gameyus Interactive
1160,NuClearVision
1161,"High Voltage Software, Backbone Entertainment"
1162,Box Clever Interactive
1163,"EA Canada, Sensory Sweep"
1164,Touchdown Entertainment
1165,Ubisoft Casablanca
1166,Black Lantern Studios
1167,Aspect
1168,Namco Bandai Games
1169,Peter Stock
1170,iNiS
1171,Rockstar Vancouver
1172,Kojima Productions
1173,EA Chicago
1174,"Nintendo, Nintendo Software Technology"
1175,Ready at Dawn
1176,"1C, Elemental Games, 1C Company"
1177,"Kush Games, Visual Concepts"
1178,SCEA San Diego Studios
1179,The Pickford Brothers
1180,Agenda
1181,"Square Enix, TOSE"
1182,Tripwire Interactive
1183,Klei Entertainment
1184,Grey Dog Software
1185,Atlus
1186,Naked Sky Entertainment
1187,Wadjet Eye Games
1188,Petroglyph
1189,Related Designs
1190,Flight-Plan
1191,Wanako Studios
1192,GarageGames
1193,Ignition Entertainment
1194,Iron Lore Entertainment
1195,Himalaya Studios
1196,"Sony Online Entertainment, Mind Control Software"
1197,M2
1198,Outerlight
1199,Q-Games
1200,Inti Creates
1201,Smart Bomb Interactive
1202,"Capcom, Klein Computer Entertainment"
1203,"Monolith Soft, Namco Bandai Games"
1204,Project Aces
1205,"Monolith Productions, TimeGate Studios"
1206,Bigbig Studios
1207,Skip Ltd.
1208,Avalanche Studios
1209,"Aqua Pacific, In2Games"
1210,"Frozenbyte, Inc."
1211,8ing/Raizing
1212,MadMinute Games
1213,SuperVillain Studios
1214,Deck 13
1215,"Rebellion, Neversoft Entertainment"
1216,Rocksteady Studios
1217,Private Moon Studios
1218,Flashbang Studios
1219,Gastronaut Studios
1220,Crafts & Meister
1221,Lucky Jump
1222,Tomy Corporation
1223,Ubisoft Quebec
1224,"Tecmo, Ntreev Soft"
1225,Indies Zero
1226,"Flagship, HAL Labs"
1227,Various
1228,AGEOD
1229,SEK Ost
1230,Playlogic
1231,Locomotive Games
1232,JGI Entertainment
1233,Cinemax
1234,Halfbrick Studios
1235,"HD Interactive, Most Wanted Entertainment"
1236,Wicked Studios
1237,Success
1238,Kerberos Productions
1239,Vivendi Games
1240,Warashi
1241,Bluepoint Games
1242,iWin
1243,Buzz Monkey
1244,Nucleosys
1245,ChunSoft
1246,"Firaxis Games, FireFly Studios"
1247,"Taito Corporation, Office Create"
1248,Sourcenext
1249,"Vivendi Games, Eurocom"
1250,Fusionsphere Systems
1251,Sprout Games
1252,Shadow Tor Studios
1253,Sabarasa Entertainment
1254,"Cinemax, RA Images"
1255,Stainless Games
1256,"Midway, Stainless Steel Studios"
1257,Konami Software Shanghai
1258,"Tik Games, LLC"
1259,"Replay Studios, Moonbyte Studios"
1260,5000ft
1261,3G Studios
1262,Tate Interactive
1263,Crea-Tech
1264,"Phantagram, Q Entertainment"
1265,Grandprix Inc.
1266,Freegamer
1267,TERMINAL Studio
1268,oeFun
1269,BeeWorks
1270,"Konami, Leviathan Games"
1271,Idea Factory
1272,Hit Maker
1273,Squashy Software
1274,"Punchline, Shirogumi"
1275,"Amaze Entertainment, Vivendi Games"
1276,Two Tribes
1277,VSTEP
1278,Big Blue Bubble Inc.
1279,Monkey Bar Games
1280,Telenet Japan
1281,"Radical Entertainment, Farsight Studios"
1282,Ubisoft Bulgaria
1283,"Atari, Tate Interactive, Atari SA"
1284,Playstos Entertainment
1285,White Birds Productions
1286,Interactive Brains
1287,Burut Software
1288,"CCR, Inc"
1289,TT Games
1290,Firebrand Games
1291,Midway Studios - Newcastle
1292,Sabertooth Games
1293,MAUS Software
1294,Hidden Floor
1295,Cypron Studios
1296,5000ft Inc.
1297,Kando Games
1298,Revolution of Strategy
1299,The Collective
1300,"Hudson Soft, Neverland"
1301,"SCi, Volatile Games"
1302,Volatile Games
1303,Hypnos
1304,h.a.n.d. Inc.
1305,Sonnori
1306,"Opus, Digital Whip"
1307,"Neverland, Idea Factory"
1308,Sylum Entertainment
1309,Beluga Computer
1310,"Buka Entertainment, Targem Games"
1311,SkyRiver Studios
1312,Strange Flavour
1313,Mechanic Arms
1314,Bandai Namco Games
